report,label,authority
تم الإبلاغ عن اقتحام منزل في حي السلام,اقتحام منزل,الشرطة
شوهد مخالفات تجارية عند المنطقة الصناعية في حي الصحافة,مخالفات تجارية,وزارة التجارة
تم الإبلاغ عن تهديد أمني في حي النخيل,تهديد أمني,أمن الدولة
بلاغ عن غرق في حي الفلاح بالقرب من المستشفى,غرق,حرس الحدود
وجود تهديد أمني وتم طلب التدخل في حي النرجس,تهديد أمني,أمن الدولة
شوهد غرق عند المجمع التجاري في حي الفلاح,غرق,حرس الحدود
تم رصد حادثة بحرية في منطقة المسجد,حادثة بحرية,حرس الحدود
شوهد غرق عند الطريق السريع في حي الورد,غرق,حرس الحدود
بلاغ عن تهريب في حي الياسمين بالقرب من المستشفى,تهريب,الجمارك
وجود مخالفات تجارية وتم طلب التدخل في حي النخيل,مخالفات تجارية,وزارة التجارة
اشتباه بحدوث حيوان ضال في حي النخيل,حيوان ضال,البلدية
بلاغ وارد يتضمن مواد منتهية في حي النخيل,مواد منتهية,وزارة التجارة
وجود اقتحام منزل وتم طلب التدخل في حي السلام,اقتحام منزل,الشرطة
تم رصد حادث مروري في منطقة الطريق السريع,حادث مروري,المرور
بلاغ عن تهريب في حي الفلاح بالقرب من المستشفى,تهريب,الجمارك
بلاغ وارد يتضمن غذاء فاسد في حي الخليج,غذاء فاسد,هيئة الغذاء والدواء
وجود حيوان ضال وتم طلب التدخل في حي الخليج,حيوان ضال,البلدية
اشتباه بحدوث بلاغ إرهابي في حي الخليج,بلاغ إرهابي,أمن الدولة
بلاغ عن سرقة في حي الفلاح بالقرب من المدرسة,سرقة,الشرطة
بلاغ وارد يتضمن غرق في حي الياسمين,غرق,حرس الحدود
تم الإبلاغ عن مخالفات تجارية في حي الفلاح,مخالفات تجارية,وزارة التجارة
بلاغ عن حادثة بحرية في حي الرياض بالقرب من المسجد,حادثة بحرية,حرس الحدود
اشتباه بحدوث حادث مروري في حي الورد,حادث مروري,المرور
وجود مواد منتهية وتم طلب التدخل في حي الجامعة,مواد منتهية,وزارة التجارة
بلاغ عاجل عن غرق الآن في حي الورد,غرق,حرس الحدود
بلاغ عاجل عن مواد منتهية الآن في حي الجامعة,مواد منتهية,وزارة التجارة
تمت ملاحظة حالة دهس ويجب التحرك في حي النخيل,دهس,المرور
تم رصد سطو مسلح في منطقة السوق,سطو مسلح,الشرطة
مواطن يبلغ عن غذاء فاسد في حي النخيل,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة غرق ويجب التحرك في حي الفلاح,غرق,حرس الحدود
مواطن يبلغ عن مخالفات تجارية في حي الفلاح,مخالفات تجارية,وزارة التجارة
شوهد تهديد أمني عند المسجد في حي الورد,تهديد أمني,أمن الدولة
وجود تلوث مياه وتم طلب التدخل في حي الرياض,تلوث مياه,وزارة البيئة
بلاغ عن مواد منتهية في حي النرجس بالقرب من المستشفى,مواد منتهية,وزارة التجارة
مواطن يبلغ عن تهديد أمني في حي الصحافة,تهديد أمني,أمن الدولة
وجود حيوان ضال وتم طلب التدخل في حي السلام,حيوان ضال,البلدية
بلاغ عن دهس في حي الورد بالقرب من المجمع التجاري,دهس,المرور
مواطن يبلغ عن فقدان طفل في حي الفلاح,فقدان طفل,الشرطة
تم الإبلاغ عن انفجار في حي الخليج,انفجار,الدفاع المدني
بلاغ وارد يتضمن حيوان ضال في حي الجامعة,حيوان ضال,البلدية
تمت ملاحظة حالة ماس كهربائي ويجب التحرك في حي النرجس,ماس كهربائي,الدفاع المدني
اشتباه بحدوث حيوان ضال في حي الورد,حيوان ضال,البلدية
بلاغ وارد يتضمن غذاء فاسد في حي السلام,غذاء فاسد,هيئة الغذاء والدواء
بلاغ وارد يتضمن تسرب غاز في حي النخيل,تسرب غاز,الدفاع المدني
مواطن يبلغ عن تلوث مياه في حي الياسمين,تلوث مياه,وزارة البيئة
وجود تهديد أمني وتم طلب التدخل في حي الخليج,تهديد أمني,أمن الدولة
بلاغ عاجل عن مخالفات تجارية الآن في حي الرياض,مخالفات تجارية,وزارة التجارة
وجود حيوان ضال وتم طلب التدخل في حي السلام,حيوان ضال,البلدية
شوهد تهريب عند الطريق السريع في حي الصحافة,تهريب,الجمارك
تمت ملاحظة حالة سرقة ويجب التحرك في حي الرياض,سرقة,الشرطة
بلاغ وارد يتضمن تهريب في حي الياسمين,تهريب,الجمارك
تم رصد سرقة في منطقة المجمع التجاري,سرقة,الشرطة
اشتباه بحدوث حيوان ضال في حي الخليج,حيوان ضال,البلدية
تم الإبلاغ عن مواد منتهية في حي الصحافة,مواد منتهية,وزارة التجارة
تم الإبلاغ عن تهديد أمني في حي الصحافة,تهديد أمني,أمن الدولة
مواطن يبلغ عن تلوث مياه في حي الصحافة,تلوث مياه,وزارة البيئة
بلاغ عاجل عن غذاء فاسد الآن في حي الياسمين,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة انقلاب مركبة ويجب التحرك في حي السلام,انقلاب مركبة,المرور
تمت ملاحظة حالة اقتحام منزل ويجب التحرك في حي الرياض,اقتحام منزل,الشرطة
بلاغ عاجل عن تعطل طريق سريع الآن في حي الرياض,تعطل طريق سريع,المرور
تم رصد مخالفات تجارية في منطقة المنطقة السكنية,مخالفات تجارية,وزارة التجارة
تم رصد غذاء فاسد في منطقة الطريق السريع,غذاء فاسد,هيئة الغذاء والدواء
بلاغ وارد يتضمن تسرب غاز في حي الورد,تسرب غاز,الدفاع المدني
بلاغ وارد يتضمن غذاء فاسد في حي النرجس,غذاء فاسد,هيئة الغذاء والدواء
بلاغ وارد يتضمن إزعاج سكني في حي الياسمين,إزعاج سكني,الشرطة
تم رصد حادثة بحرية في منطقة الطريق السريع,حادثة بحرية,حرس الحدود
بلاغ وارد يتضمن مخالفات تجارية في حي الورد,مخالفات تجارية,وزارة التجارة
تم الإبلاغ عن انفجار في حي النخيل,انفجار,الدفاع المدني
بلاغ عن تعطل طريق سريع في حي الخليج بالقرب من المنطقة الصناعية,تعطل طريق سريع,المرور
اشتباه بحدوث تهديد أمني في حي الفلاح,تهديد أمني,أمن الدولة
تم الإبلاغ عن ازدحام مروري في حي النرجس,ازدحام مروري,المرور
وجود احتجاز في مصعد وتم طلب التدخل في حي الفلاح,احتجاز في مصعد,الدفاع المدني
شوهد غذاء فاسد عند الحديقة في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عن مخالفات تجارية في حي الرياض بالقرب من السوق,مخالفات تجارية,وزارة التجارة
وجود حيوان ضال وتم طلب التدخل في حي الورد,حيوان ضال,البلدية
شوهد تهديد أمني عند السوق في حي الجامعة,تهديد أمني,أمن الدولة
اشتباه بحدوث تهديد أمني في حي الجامعة,تهديد أمني,أمن الدولة
تمت ملاحظة حالة دهس ويجب التحرك في حي الورد,دهس,المرور
تمت ملاحظة حالة حادث مروري ويجب التحرك في حي الفلاح,حادث مروري,المرور
بلاغ عن سرقة في حي الرياض بالقرب من المنطقة الصناعية,سرقة,الشرطة
تم الإبلاغ عن تهريب في حي الفلاح,تهريب,الجمارك
بلاغ عاجل عن دهس الآن في حي الرياض,دهس,المرور
وجود سرقة وتم طلب التدخل في حي الفلاح,سرقة,الشرطة
بلاغ عاجل عن إزعاج سكني الآن في حي السلام,إزعاج سكني,الشرطة
مواطن يبلغ عن حادثة بحرية في حي الخليج,حادثة بحرية,حرس الحدود
شوهد غذاء فاسد عند المجمع التجاري في حي الورد,غذاء فاسد,هيئة الغذاء والدواء
وجود حيوان ضال وتم طلب التدخل في حي الجامعة,حيوان ضال,البلدية
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الياسمين,حيوان ضال,البلدية
تم الإبلاغ عن حريق في حي الفلاح,حريق,الدفاع المدني
وجود حيوان ضال وتم طلب التدخل في حي الياسمين,حيوان ضال,البلدية
بلاغ عاجل عن غذاء فاسد الآن في حي النخيل,غذاء فاسد,هيئة الغذاء والدواء
وجود بلاغ سلاح وتم طلب التدخل في حي الخليج,بلاغ سلاح,الشرطة
شوهد انفجار عند السوق في حي النرجس,انفجار,الدفاع المدني
بلاغ عن ماس كهربائي في حي الياسمين بالقرب من المنطقة السكنية,ماس كهربائي,الدفاع المدني
بلاغ عن مواد منتهية في حي الفلاح بالقرب من المنطقة الصناعية,مواد منتهية,وزارة التجارة
بلاغ عن سرقة في حي الورد بالقرب من الحديقة,سرقة,الشرطة
تمت ملاحظة حالة تهريب ويجب التحرك في حي الخليج,تهريب,الجمارك
تمت ملاحظة حالة مواد منتهية ويجب التحرك في حي النخيل,مواد منتهية,وزارة التجارة
بلاغ عن دهس في حي النخيل بالقرب من المجمع التجاري,دهس,المرور
بلاغ وارد يتضمن سطو مسلح في حي الخليج,سطو مسلح,الشرطة
تم الإبلاغ عن تهديد أمني في حي النرجس,تهديد أمني,أمن الدولة
اشتباه بحدوث غرق في حي الفلاح,غرق,حرس الحدود
مواطن يبلغ عن غرق في حي الياسمين,غرق,حرس الحدود
شوهد انفجار عند المنطقة السكنية في حي الجامعة,انفجار,الدفاع المدني
تم الإبلاغ عن غرق في حي الصحافة,غرق,حرس الحدود
مواطن يبلغ عن تلوث مياه في حي النرجس,تلوث مياه,وزارة البيئة
بلاغ وارد يتضمن حادثة بحرية في حي النرجس,حادثة بحرية,حرس الحدود
بلاغ عن غذاء فاسد في حي الجامعة بالقرب من الطريق السريع,غذاء فاسد,هيئة الغذاء والدواء
مواطن يبلغ عن مخالفات تجارية في حي الخليج,مخالفات تجارية,وزارة التجارة
وجود انفجار وتم طلب التدخل في حي السلام,انفجار,الدفاع المدني
اشتباه بحدوث حيوان ضال في حي الرياض,حيوان ضال,البلدية
بلاغ عاجل عن غرق الآن في حي الخليج,غرق,حرس الحدود
بلاغ عن تلوث مياه في حي السلام بالقرب من المسجد,تلوث مياه,وزارة البيئة
بلاغ عاجل عن غذاء فاسد الآن في حي الخليج,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عاجل عن تسرب غاز الآن في حي الورد,تسرب غاز,الدفاع المدني
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي النرجس,حيوان ضال,البلدية
شوهد تلوث مياه عند المدرسة في حي النرجس,تلوث مياه,وزارة البيئة
بلاغ وارد يتضمن بلاغ إرهابي في حي الرياض,بلاغ إرهابي,أمن الدولة
مواطن يبلغ عن سطو مسلح في حي الفلاح,سطو مسلح,الشرطة
تم الإبلاغ عن تهديد أمني في حي السلام,تهديد أمني,أمن الدولة
تم الإبلاغ عن مخالفات تجارية في حي الياسمين,مخالفات تجارية,وزارة التجارة
تمت ملاحظة حالة تلوث مياه ويجب التحرك في حي الورد,تلوث مياه,وزارة البيئة
تمت ملاحظة حالة تهريب ويجب التحرك في حي الياسمين,تهريب,الجمارك
بلاغ عن مواد منتهية في حي الورد بالقرب من المستشفى,مواد منتهية,وزارة التجارة
تم رصد تلوث مياه في منطقة الحديقة,تلوث مياه,وزارة البيئة
بلاغ عن تهريب في حي الياسمين بالقرب من الحديقة,تهريب,الجمارك
وجود حيوان ضال وتم طلب التدخل في حي النرجس,حيوان ضال,البلدية
وجود تعطل طريق سريع وتم طلب التدخل في حي النرجس,تعطل طريق سريع,المرور
وجود بلاغ إرهابي وتم طلب التدخل في حي الصحافة,بلاغ إرهابي,أمن الدولة
تمت ملاحظة حالة بلاغ إرهابي ويجب التحرك في حي الجامعة,بلاغ إرهابي,أمن الدولة
وجود حادثة بحرية وتم طلب التدخل في حي السلام,حادثة بحرية,حرس الحدود
تم رصد تلوث مياه في منطقة المسجد,تلوث مياه,وزارة البيئة
وجود بلاغ إرهابي وتم طلب التدخل في حي الياسمين,بلاغ إرهابي,أمن الدولة
بلاغ وارد يتضمن دهس في حي الورد,دهس,المرور
مواطن يبلغ عن غذاء فاسد في حي الخليج,غذاء فاسد,هيئة الغذاء والدواء
اشتباه بحدوث حيوان ضال في حي الياسمين,حيوان ضال,البلدية
شوهد تلوث مياه عند المدرسة في حي الجامعة,تلوث مياه,وزارة البيئة
بلاغ عن غذاء فاسد في حي الورد بالقرب من السوق,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عاجل عن حيوان ضال الآن في حي الجامعة,حيوان ضال,البلدية
بلاغ عاجل عن تلوث مياه الآن في حي الورد,تلوث مياه,وزارة البيئة
بلاغ عن غذاء فاسد في حي الورد بالقرب من المنطقة الصناعية,غذاء فاسد,هيئة الغذاء والدواء
مواطن يبلغ عن غذاء فاسد في حي السلام,غذاء فاسد,هيئة الغذاء والدواء
شوهد حيوان ضال عند المدرسة في حي الورد,حيوان ضال,البلدية
اشتباه بحدوث تهريب في حي الياسمين,تهريب,الجمارك
اشتباه بحدوث مشاجرة في حي الخليج,مشاجرة,الشرطة
تمت ملاحظة حالة بلاغ إرهابي ويجب التحرك في حي الخليج,بلاغ إرهابي,أمن الدولة
تم الإبلاغ عن تهريب في حي الياسمين,تهريب,الجمارك
تم الإبلاغ عن تهريب في حي النخيل,تهريب,الجمارك
شوهد تسرب غاز عند المستشفى في حي الياسمين,تسرب غاز,الدفاع المدني
وجود حادثة بحرية وتم طلب التدخل في حي السلام,حادثة بحرية,حرس الحدود
تم الإبلاغ عن حيوان ضال في حي النخيل,حيوان ضال,البلدية
تمت ملاحظة حالة بلاغ إرهابي ويجب التحرك في حي النرجس,بلاغ إرهابي,أمن الدولة
مواطن يبلغ عن غذاء فاسد في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عن تلوث مياه في حي الصحافة بالقرب من المجمع التجاري,تلوث مياه,وزارة البيئة
وجود تهريب وتم طلب التدخل في حي الفلاح,تهريب,الجمارك
تم الإبلاغ عن حادثة بحرية في حي الورد,حادثة بحرية,حرس الحدود
بلاغ عن احتجاز في مصعد في حي الفلاح بالقرب من الطريق السريع,احتجاز في مصعد,الدفاع المدني
اشتباه بحدوث حادث مروري في حي النرجس,حادث مروري,المرور
بلاغ عاجل عن سطو مسلح الآن في حي الخليج,سطو مسلح,الشرطة
تمت ملاحظة حالة انقلاب مركبة ويجب التحرك في حي الصحافة,انقلاب مركبة,المرور
بلاغ عن تهريب في حي الخليج بالقرب من الحديقة,تهريب,الجمارك
بلاغ وارد يتضمن مخالفات تجارية في حي النرجس,مخالفات تجارية,وزارة التجارة
تم رصد دهس في منطقة المدرسة,دهس,المرور
بلاغ عاجل عن حادثة بحرية الآن في حي السلام,حادثة بحرية,حرس الحدود
بلاغ عاجل عن مخالفات تجارية الآن في حي الفلاح,مخالفات تجارية,وزارة التجارة
تم رصد سرقة في منطقة الحديقة,سرقة,الشرطة
شوهد مخالفات تجارية عند المستشفى في حي الرياض,مخالفات تجارية,وزارة التجارة
بلاغ وارد يتضمن غذاء فاسد في حي الجامعة,غذاء فاسد,هيئة الغذاء والدواء
اشتباه بحدوث غرق في حي السلام,غرق,حرس الحدود
تم رصد دهس في منطقة السوق,دهس,المرور
تمت ملاحظة حالة بلاغ إرهابي ويجب التحرك في حي النرجس,بلاغ إرهابي,أمن الدولة
بلاغ عن ماس كهربائي في حي النخيل بالقرب من الطريق السريع,ماس كهربائي,الدفاع المدني
بلاغ عاجل عن حريق الآن في حي النخيل,حريق,الدفاع المدني
بلاغ عاجل عن بلاغ إرهابي الآن في حي الصحافة,بلاغ إرهابي,أمن الدولة
تمت ملاحظة حالة غذاء فاسد ويجب التحرك في حي النرجس,غذاء فاسد,هيئة الغذاء والدواء
اشتباه بحدوث غذاء فاسد في حي السلام,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي النخيل,حيوان ضال,البلدية
بلاغ عاجل عن غذاء فاسد الآن في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عاجل عن ازدحام مروري الآن في حي النخيل,ازدحام مروري,المرور
تم الإبلاغ عن تهديد أمني في حي النرجس,تهديد أمني,أمن الدولة
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الجامعة,حيوان ضال,البلدية
تم الإبلاغ عن حيوان ضال في حي الورد,حيوان ضال,البلدية
وجود تهريب وتم طلب التدخل في حي الياسمين,تهريب,الجمارك
شوهد حادثة بحرية عند المدرسة في حي الفلاح,حادثة بحرية,حرس الحدود
بلاغ وارد يتضمن تهريب في حي السلام,تهريب,الجمارك
وجود مشاجرة وتم طلب التدخل في حي الياسمين,مشاجرة,الشرطة
بلاغ وارد يتضمن انقلاب مركبة في حي الرياض,انقلاب مركبة,المرور
بلاغ وارد يتضمن بلاغ سلاح في حي الخليج,بلاغ سلاح,الشرطة
تم الإبلاغ عن تهريب في حي النرجس,تهريب,الجمارك
بلاغ وارد يتضمن تلوث مياه في حي الورد,تلوث مياه,وزارة البيئة
تم الإبلاغ عن مخالفات تجارية في حي الياسمين,مخالفات تجارية,وزارة التجارة
تمت ملاحظة حالة إزعاج سكني ويجب التحرك في حي النخيل,إزعاج سكني,الشرطة
بلاغ وارد يتضمن حادثة بحرية في حي الرياض,حادثة بحرية,حرس الحدود
تم رصد دهس في منطقة المنطقة السكنية,دهس,المرور
تم الإبلاغ عن بلاغ إرهابي في حي الرياض,بلاغ إرهابي,أمن الدولة
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الفلاح,حيوان ضال,البلدية
بلاغ عاجل عن غذاء فاسد الآن في حي الورد,غذاء فاسد,هيئة الغذاء والدواء
تم رصد مخالفات تجارية في منطقة المدرسة,مخالفات تجارية,وزارة التجارة
اشتباه بحدوث مواد منتهية في حي الورد,مواد منتهية,وزارة التجارة
مواطن يبلغ عن حيوان ضال في حي الياسمين,حيوان ضال,البلدية
شوهد حيوان ضال عند الطريق السريع في حي النخيل,حيوان ضال,البلدية
اشتباه بحدوث غذاء فاسد في حي النخيل,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عاجل عن غذاء فاسد الآن في حي النرجس,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة تهريب ويجب التحرك في حي النخيل,تهريب,الجمارك
تم رصد فقدان طفل في منطقة الحديقة,فقدان طفل,الشرطة
تم الإبلاغ عن تلوث مياه في حي الصحافة,تلوث مياه,وزارة البيئة
اشتباه بحدوث ازدحام مروري في حي السلام,ازدحام مروري,المرور
شوهد تلوث مياه عند المنطقة السكنية في حي النرجس,تلوث مياه,وزارة البيئة
تمت ملاحظة حالة إزعاج سكني ويجب التحرك في حي الورد,إزعاج سكني,الشرطة
تم رصد مواد منتهية في منطقة السوق,مواد منتهية,وزارة التجارة
تمت ملاحظة حالة مواد منتهية ويجب التحرك في حي الياسمين,مواد منتهية,وزارة التجارة
شوهد مخالفات تجارية عند المنطقة السكنية في حي النرجس,مخالفات تجارية,وزارة التجارة
مواطن يبلغ عن غذاء فاسد في حي النرجس,غذاء فاسد,هيئة الغذاء والدواء
تم الإبلاغ عن تهريب في حي النرجس,تهريب,الجمارك
وجود تهديد أمني وتم طلب التدخل في حي الفلاح,تهديد أمني,أمن الدولة
شوهد حادثة بحرية عند المنطقة الصناعية في حي الجامعة,حادثة بحرية,حرس الحدود
مواطن يبلغ عن مواد منتهية في حي النرجس,مواد منتهية,وزارة التجارة
مواطن يبلغ عن غذاء فاسد في حي الفلاح,غذاء فاسد,هيئة الغذاء والدواء
تم رصد غرق في منطقة المجمع التجاري,غرق,حرس الحدود
مواطن يبلغ عن غرق في حي الياسمين,غرق,حرس الحدود
اشتباه بحدوث احتجاز في مصعد في حي الجامعة,احتجاز في مصعد,الدفاع المدني
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الجامعة,حيوان ضال,البلدية
شوهد بلاغ إرهابي عند المسجد في حي النخيل,بلاغ إرهابي,أمن الدولة
تم الإبلاغ عن تسرب غاز في حي الخليج,تسرب غاز,الدفاع المدني
تم رصد بلاغ إرهابي في منطقة المدرسة,بلاغ إرهابي,أمن الدولة
تم رصد حادث مروري في منطقة السوق,حادث مروري,المرور
تم الإبلاغ عن تهريب في حي الرياض,تهريب,الجمارك
بلاغ عاجل عن إزعاج سكني الآن في حي الورد,إزعاج سكني,الشرطة
شوهد تلوث مياه عند المستشفى في حي الجامعة,تلوث مياه,وزارة البيئة
بلاغ وارد يتضمن تهديد أمني في حي الياسمين,تهديد أمني,أمن الدولة
تم الإبلاغ عن بلاغ إرهابي في حي السلام,بلاغ إرهابي,أمن الدولة
بلاغ عاجل عن تهريب الآن في حي النخيل,تهريب,الجمارك
وجود ماس كهربائي وتم طلب التدخل في حي الخليج,ماس كهربائي,الدفاع المدني
بلاغ وارد يتضمن ازدحام مروري في حي الجامعة,ازدحام مروري,المرور
بلاغ عن تلوث مياه في حي النخيل بالقرب من المجمع التجاري,تلوث مياه,وزارة البيئة
تم الإبلاغ عن غذاء فاسد في حي الرياض,غذاء فاسد,هيئة الغذاء والدواء
اشتباه بحدوث حيوان ضال في حي الياسمين,حيوان ضال,البلدية
وجود بلاغ إرهابي وتم طلب التدخل في حي الفلاح,بلاغ إرهابي,أمن الدولة
مواطن يبلغ عن سطو مسلح في حي الجامعة,سطو مسلح,الشرطة
بلاغ وارد يتضمن ماس كهربائي في حي الخليج,ماس كهربائي,الدفاع المدني
بلاغ وارد يتضمن تلوث مياه في حي الياسمين,تلوث مياه,وزارة البيئة
تم الإبلاغ عن بلاغ سلاح في حي الياسمين,بلاغ سلاح,الشرطة
بلاغ وارد يتضمن انفجار في حي الورد,انفجار,الدفاع المدني
بلاغ عاجل عن بلاغ إرهابي الآن في حي الرياض,بلاغ إرهابي,أمن الدولة
تمت ملاحظة حالة غرق ويجب التحرك في حي الرياض,غرق,حرس الحدود
وجود حيوان ضال وتم طلب التدخل في حي الخليج,حيوان ضال,البلدية
وجود تهديد أمني وتم طلب التدخل في حي الجامعة,تهديد أمني,أمن الدولة
بلاغ عاجل عن حادثة بحرية الآن في حي الجامعة,حادثة بحرية,حرس الحدود
تم الإبلاغ عن سطو مسلح في حي الفلاح,سطو مسلح,الشرطة
وجود تسرب غاز وتم طلب التدخل في حي الياسمين,تسرب غاز,الدفاع المدني
وجود غذاء فاسد وتم طلب التدخل في حي السلام,غذاء فاسد,هيئة الغذاء والدواء
مواطن يبلغ عن غذاء فاسد في حي الجامعة,غذاء فاسد,هيئة الغذاء والدواء
شوهد مواد منتهية عند المركز التجاري في حي الياسمين,مواد منتهية,وزارة التجارة
مواطن يبلغ عن دهس في حي النخيل,دهس,المرور
وجود تلوث مياه وتم طلب التدخل في حي الرياض,تلوث مياه,وزارة البيئة
مواطن يبلغ عن حادث مروري في حي الجامعة,حادث مروري,المرور
تمت ملاحظة حالة ماس كهربائي ويجب التحرك في حي الخليج,ماس كهربائي,الدفاع المدني
شوهد تهريب عند الطريق السريع في حي الورد,تهريب,الجمارك
شوهد ازدحام مروري عند الطريق السريع في حي الورد,ازدحام مروري,المرور
مواطن يبلغ عن اقتحام منزل في حي النرجس,اقتحام منزل,الشرطة
بلاغ وارد يتضمن مواد منتهية في حي الفلاح,مواد منتهية,وزارة التجارة
مواطن يبلغ عن تهريب في حي النخيل,تهريب,الجمارك
تم رصد تلوث مياه في منطقة المدرسة,تلوث مياه,وزارة البيئة
بلاغ وارد يتضمن تسرب غاز في حي الفلاح,تسرب غاز,الدفاع المدني
تم الإبلاغ عن اقتحام منزل في حي النخيل,اقتحام منزل,الشرطة
بلاغ عاجل عن تلوث مياه الآن في حي الرياض,تلوث مياه,وزارة البيئة
وجود احتجاز في مصعد وتم طلب التدخل في حي النرجس,احتجاز في مصعد,الدفاع المدني
اشتباه بحدوث غذاء فاسد في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
اشتباه بحدوث حيوان ضال في حي الرياض,حيوان ضال,البلدية
شوهد غذاء فاسد عند المستشفى في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
تم الإبلاغ عن مواد منتهية في حي الياسمين,مواد منتهية,وزارة التجارة
مواطن يبلغ عن غرق في حي الجامعة,غرق,حرس الحدود
مواطن يبلغ عن دهس في حي النرجس,دهس,المرور
شوهد حيوان ضال عند السوق في حي الرياض,حيوان ضال,البلدية
تم الإبلاغ عن مواد منتهية في حي السلام,مواد منتهية,وزارة التجارة
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي النرجس,حيوان ضال,البلدية
تم الإبلاغ عن حادثة بحرية في حي الجامعة,حادثة بحرية,حرس الحدود
بلاغ عاجل عن سرقة الآن في حي الخليج,سرقة,الشرطة
تم الإبلاغ عن تسرب غاز في حي الياسمين,تسرب غاز,الدفاع المدني
تمت ملاحظة حالة فقدان طفل ويجب التحرك في حي النخيل,فقدان طفل,الشرطة
وجود حيوان ضال وتم طلب التدخل في حي النخيل,حيوان ضال,البلدية
بلاغ عاجل عن غرق الآن في حي النرجس,غرق,حرس الحدود
تم رصد تلوث مياه في منطقة المستشفى,تلوث مياه,وزارة البيئة
بلاغ عاجل عن حادثة بحرية الآن في حي النرجس,حادثة بحرية,حرس الحدود
وجود تلوث مياه وتم طلب التدخل في حي الخليج,تلوث مياه,وزارة البيئة
مواطن يبلغ عن تلوث مياه في حي الصحافة,تلوث مياه,وزارة البيئة
مواطن يبلغ عن سرقة في حي الفلاح,سرقة,الشرطة
شوهد مخالفات تجارية عند المستشفى في حي الورد,مخالفات تجارية,وزارة التجارة
شوهد تلوث مياه عند المسجد في حي النرجس,تلوث مياه,وزارة البيئة
بلاغ عاجل عن سطو مسلح الآن في حي الخليج,سطو مسلح,الشرطة
بلاغ وارد يتضمن تهريب في حي الصحافة,تهريب,الجمارك
تم الإبلاغ عن تلوث مياه في حي الفلاح,تلوث مياه,وزارة البيئة
مواطن يبلغ عن غرق في حي الورد,غرق,حرس الحدود
تمت ملاحظة حالة دهس ويجب التحرك في حي النخيل,دهس,المرور
تم الإبلاغ عن حيوان ضال في حي الرياض,حيوان ضال,البلدية
اشتباه بحدوث تلوث مياه في حي السلام,تلوث مياه,وزارة البيئة
وجود حادثة بحرية وتم طلب التدخل في حي الجامعة,حادثة بحرية,حرس الحدود
شوهد تهديد أمني عند السوق في حي الورد,تهديد أمني,أمن الدولة
شوهد مخالفات تجارية عند المجمع التجاري في حي الصحافة,مخالفات تجارية,وزارة التجارة
بلاغ عن غذاء فاسد في حي النخيل بالقرب من المستشفى,غذاء فاسد,هيئة الغذاء والدواء
تم الإبلاغ عن غذاء فاسد في حي السلام,غذاء فاسد,هيئة الغذاء والدواء
اشتباه بحدوث احتجاز في مصعد في حي الورد,احتجاز في مصعد,الدفاع المدني
بلاغ عاجل عن اقتحام منزل الآن في حي السلام,اقتحام منزل,الشرطة
مواطن يبلغ عن حادثة بحرية في حي النخيل,حادثة بحرية,حرس الحدود
اشتباه بحدوث تلوث مياه في حي الفلاح,تلوث مياه,وزارة البيئة
اشتباه بحدوث مخالفات تجارية في حي الخليج,مخالفات تجارية,وزارة التجارة
اشتباه بحدوث تلوث مياه في حي الرياض,تلوث مياه,وزارة البيئة
بلاغ عاجل عن تلوث مياه الآن في حي الخليج,تلوث مياه,وزارة البيئة
تم رصد انفجار في منطقة المنطقة الصناعية,انفجار,الدفاع المدني
اشتباه بحدوث مواد منتهية في حي الخليج,مواد منتهية,وزارة التجارة
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي السلام,حيوان ضال,البلدية
مواطن يبلغ عن تلوث مياه في حي النخيل,تلوث مياه,وزارة البيئة
وجود غرق وتم طلب التدخل في حي السلام,غرق,حرس الحدود
وجود غرق وتم طلب التدخل في حي النرجس,غرق,حرس الحدود
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الصحافة,حيوان ضال,البلدية
تم الإبلاغ عن بلاغ إرهابي في حي الرياض,بلاغ إرهابي,أمن الدولة
بلاغ وارد يتضمن احتجاز في مصعد في حي الرياض,احتجاز في مصعد,الدفاع المدني
بلاغ وارد يتضمن إزعاج سكني في حي الورد,إزعاج سكني,الشرطة
